participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary	speech	Ntime
de02	mono	207.467	207.525	Ursula	u	SWW	unfocused	N/A	59	123	58	f	0	speech	NA
de02	mono	218.873	219.016	parAbel	a	WSW	unfocused	N/A	143	204	67	f	0	speech	NA
de02	mono	230.07	230.109	Ananas	a	SWW	unfocused	N/A	39	243	67	f	0	speech	NA
de02	mono	236.387	236.499	melOne	o	WSW	unfocused	N/A	112	233	63	f	0	speech	NA
de02	mono	242.632	242.713	latErne	e	WSW	unfocused	N/A	81	239	66	f	0	speech	NA
de02	mono	253.926	253.975	spIritus	i	SWW	unfocused	N/A	49	230	64	f	0	speech	NA
de02	mono	260.405	260.817	lIbero	e	SWW	unfocused	fail	412	208	64	f	0	speech	NA
de02	mono	271.282	271.348	alUmnus	u	WSW	unfocused	N/A	65	253	66	f	0	speech	NA
de02	mono	282.411	282.491	kanInchen	i	WSW	unfocused	N/A	79	257	67	f	0	speech	NA
de02	mono	294.79	294.891	latErne	e	WSW	focused	N/A	101	276	67	f	0	speech	NA
de02	mono	303.003	303.061	Ursula	u	SWW	focused	N/A	57	224	62	f	0	speech	NA
de02	mono	307.639	307.758	melOne	o	WSW	focused	N/A	119	280	67	f	0	speech	NA
de03	mono	16.997	17.109	kabAle	a	WSW	unfocused	N/A	112	198	53	f	0	speech	NA
de03	mono	23.675	23.693	Enkelin	e	SWW	unfocused	N/A	18	--undefined--	39	f	0	speech	NA
de03	mono	35.479	35.541	kabIne	i	WSW	unfocused	N/A	62	197	45	f	0	speech	NA
de03	mono	42.35	42.439	kanOne	o	WSW	unfocused	N/A	89	187	50	f	0	speech	NA
de03	mono	53.269	53.307	kOpula	u	SWW	unfocused	N/A	37	202	42	f	0	speech	NA
de03	mono	65.098	65.148	libElle	e	WSW	unfocused	N/A	50	181	45	f	0	speech	NA
de03	mono	71.481	71.549	Abakus	a	SWW	unfocused	N/A	67	190	46	f	0	speech	NA
de03	mono	83.216	83.263	Exodus	o	SWW	unfocused	N/A	48	198	40	f	0	speech	NA
de03	mono	89.442	89.528	kolUmne	u	WSW	unfocused	N/A	87	190	50	f	0	speech	NA
de03	mono	100.351	100.41	kAritas	i	SWW	unfocused	N/A	59	184	40	f	0	speech	NA
de03	mono	120.651	120.775	kabAle	a	WSW	focused	N/A	124	194	59	f	0	speech	NA
de03	mono	125.621	125.654	Exodus	o	SWW	focused	N/A	33	180	48	f	0	speech	NA
de03	mono	135.034	135.065	kOpula	u	SWW	focused	N/A	31	184	50	f	0	speech	NA
de03	mono	139.864	139.94	kabIne	i	WSW	focused	N/A	76	206	52	f	0	speech	NA
