participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary
03_1b	ua	26.656	26.739	dErevo	e	SWW	focused	N/A	82	165	73	f	0
03_1b	ua	43.714	43.785	pOdruha	u	SWW	focused	N/A	71	159	76	f	1
03_1b	ua	59.457	59.522	prOlisok	i	SWW	focused	N/A	65	174	73	f	0
03_1b	ua	69.987	70.052	zOloto	o	SWW	focused	N/A	65	157	77	f	1
03_1b	ua	84.737	84.794	pYsanka	a	SWW	focused	N/A	56	206	78	f	0
03_1b	ua	98.772	98.829	prOlisok	i	SWW	unfocused	N/A	58	174	72	f	0
03_1b	ua	110.186	110.264	dErevo	e	SWW	unfocused	N/A	79	141	73	f	0
03_1b	ua	126.69	126.755	pOdruha	u	SWW	unfocused	N/A	65	146	72	f	1
03_1b	ua	142.109	142.164	zOloto	o	SWW	unfocused	N/A	55	--undefined--	72	f	1
03_1b	ua	163.492	163.543	pYsanka	a	SWW	unfocused	N/A	50	161	75	f	0
03_1b	ua	177.517	177.604	vYrizka	i	SWW	focused	N/A	87	159	76	f	0
03_1b	ua	182.266	182.318	zAbavka	a	SWW	unfocused	N/A	52	161	69	f	0
03_1b	ua	195.486	195.563	zArodok	o	SWW	focused	N/A	77	200	81	f	0
03_1b	ua	218.241	218.301	vEresen'	e	SWW	focused	N/A	60	169	76	f	0
03_1b	ua	240.071	240.129	pOdushka	u	SWW	focused	N/A	58	179	73	f	0
03_1b	ua	265.236	265.277	pOdushka	u	SWW	unfocused	N/A	42	146	76	f	0
03_1b	ua	279.192	279.231	zAbavka	a	SWW	unfocused	N/A	40	166	71	f	0
03_1b	ua	293.722	293.797	vYrizka	i	SWW	unfocused	N/A	76	196	79	f	0
03_1b	ua	303.165	303.223	vEresen'	e	SWW	unfocused	N/A	58	179	74	f	0
03_1b	ua	308.659	308.728	zArodok	o	SWW	unfocused	N/A	69	211	72	f	1
04_3b	de	31.094	31.143	gEgenstand	e	SWW	focused	N/A	49	289	78	f	1
04_3b	de	52.134	52.219	Anorak	o	SWW	focused	N/A	84	251	74	f	1
04_3b	de	57.741	57.841	kAnapee	a	SWW	focused	N/A	100	213	69	f	1
04_3b	de	73.204	73.26	Uvula	u	SWW	focused	N/A	56	237	74	f	1
04_3b	de	97.772	97.812	gEgenstand	e	SWW	unfocused	N/A	39	217	65	f	0
04_3b	de	119.771	119.833	Anorak	o	SWW	unfocused	N/A	62	244	71	f	0
04_3b	de	141.267	141.328	kAnapee	a	SWW	unfocused	N/A	61	251	64	f	0
04_3b	de	151.108	151.186	Uvula	u	SWW	unfocused	N/A	78	248	75	f	0
04_3b	de	172.775	172.845	kOlibri	i	SWW	unfocused	fail	69	237	70	f	0
04_3b	de	196.562	196.607	Ursula	u	SWW	focused	N/A	46	211	71	f	1
04_3b	de	216.209	216.272	Ananas	a	SWW	focused	N/A	62	257	77	f	1
04_3b	de	230.261	230.321	lIbero	e	SWW	focused	N/A	60	256	68	f	1
04_3b	de	239.433	239.472	kOsovo	o	SWW	focused	N/A	39	217	74	f	0
04_3b	de	249.588	249.677	spIritus	i	SWW	focused	N/A	89	282	76	f	1
04_3b	de	271.463	271.532	kOsovo	o	SWW	unfocused	N/A	69	231	63	f	0
04_3b	de	277.123	277.16	Ursula	u	SWW	unfocused	N/A	36	243	70	f	1
04_3b	de	296.798	296.858	Ananas	a	SWW	unfocused	N/A	60	247	76	f	1
04_3b	de	317.258	317.351	spIritus	i	SWW	unfocused	N/A	93	251	69	f	0
04_3b	de	322.613	322.668	lIbero	e	SWW	unfocused	N/A	54	250	74	f	0
04_3b	ua	21.931	21.99	vYrizka	i	SWW	focused	N/A	59	167	66	f	0
04_3b	ua	27.125	27.193	zAbavka	a	SWW	focused	N/A	68	172	69	f	1
04_3b	ua	41.195	41.254	zArodok	o	SWW	focused	N/A	59	167	69	f	1
04_3b	ua	64.341	64.426	vEresen'	e	SWW	focused	N/A	85	159	61	f	0
04_3b	ua	87.314	87.363	pOdushka	u	SWW	focused	N/A	49	169	69	f	0
04_3b	ua	115.27	115.339	pOdushka	u	SWW	unfocused	N/A	69	170	62	f	0
04_3b	ua	130.436	130.487	zAbavka	a	SWW	unfocused	N/A	51	160	65	f	0
04_3b	ua	144.418	144.491	vYrizka	i	SWW	unfocused	N/A	72	160	68	f	0
04_3b	ua	153.064	153.101	vEresen'	e	SWW	unfocused	N/A	36	166	62	f	0
04_3b	ua	157.629	157.712	zArodok	o	SWW	unfocused	N/A	82	172	66	f	0
04_3b	ua	177.518	177.557	Avtorka	o	SWW	focused	N/A	39	192	69	f	1
04_3b	ua	190.114	190.151	lAstivka	i	SWW	focused	N/A	37	184	59	f	0
04_3b	ua	206.119	206.205	stAtuya	u	SWW	focused	N/A	86	190	66	f	0
04_3b	ua	224.392	224.465	bErezen'	e	SWW	focused	N/A	73	165	70	f	0
04_3b	ua	232.746	232.796	hYkavka	a	SWW	focused	N/A	50	173	67	f	1
04_3b	ua	248.782	248.814	hYkavka	a	SWW	unfocused	N/A	32	171	55	f	0
04_3b	ua	262.384	262.423	Avtorka	o	SWW	unfocused	N/A	39	184	60	f	0
04_3b	ua	275.37	275.435	stAtuya	u	SWW	unfocused	N/A	65	159	67	f	0
04_3b	ua	288.77	288.797	lAstivka	i	SWW	unfocused	N/A	27	197	52	f	0
04_3b	ua	293.433	293.524	bErezen'	e	SWW	unfocused	N/A	90	168	65	f	0
05_4a	de	10.578	10.615	kOlibri	i	SWW	focused	N/A	37	132	51	m	0
05_4a	de	25.409	25.482	gEgenstand	e	SWW	focused	N/A	73	138	56	m	1
05_4a	de	41.864	41.92	Anorak	o	SWW	focused	N/A	57	132	56	m	1
05_4a	de	47.144	47.211	kAnapee	a	SWW	focused	N/A	68	121	54	m	1
05_4a	de	62.844	62.9	Uvula	u	SWW	focused	N/A	57	--undefined--	54	m	0
05_4a	de	5.137	5.2	gEgenstand	e	SWW	unfocused	int?	63	131	57	m	0
05_4a	de	26.219	26.278	Anorak	o	SWW	unfocused	N/A	59	140	55	m	1
05_4a	de	48.113	48.18	kAnapee	a	SWW	unfocused	N/A	67	131	56	m	0
05_4a	de	58.482	58.548	Uvula	u	SWW	unfocused	N/A	66	--undefined--	46	m	1
05_4a	de	80.8	80.873	kOlibri	i	SWW	unfocused	N/A	73	131	54	m	0
05_4a	de	5.059	5.116	kOsovo	o	SWW	unfocused	N/A	57	133	52	m	0
05_4a	de	11.016	11.078	Ursula	u	SWW	unfocused	N/A	62	162	52	m	0
05_4a	de	30.899	30.951	Ananas	a	SWW	unfocused	N/A	53	152	53	m	0
05_4a	de	51.856	51.947	spIritus	i	SWW	unfocused	N/A	91	141	50	m	1
05_4a	de	57.231	57.304	lIbero	e	SWW	unfocused	N/A	73	134	56	m	0
05_4a	de	12.495	12.558	Ursula	u	SWW	focused	N/A	63	--undefined--	50	m	0
05_4a	de	29.407	29.482	Ananas	a	SWW	focused	N/A	75	131	53	m	0
05_4a	de	43.232	43.277	lIbero	e	SWW	focused	N/A	45	144	58	m	0
05_4a	de	50.766	50.84	kOsovo	o	SWW	focused	N/A	74	126	48	m	0
05_4a	de	57.948	58.027	spIritus	i	SWW	focused	N/A	79	166	50	m	0
05_4a	ua	19.683	19.731	pOdushka	u	SWW	unfocused	N/A	49	83	41	m	0
05_4a	ua	33.875	33.921	zAbavka	a	SWW	unfocused	N/A	46	123	45	m	0
05_4a	ua	47.271	47.309	vYrizka	i	SWW	unfocused	N/A	38	128	50	m	0
05_4a	ua	56.154	56.18	vEresen'	e	SWW	unfocused	N/A	26	142	49	m	0
05_4a	ua	61.105	61.186	zArodok	o	SWW	unfocused	N/A	82	--undefined--	47	m	0
05_4a	ua	6.147	6.189	hYkavka	a	SWW	unfocused	N/A	42	--undefined--	48	m	0
05_4a	ua	21.243	21.286	Avtorka	o	SWW	unfocused	N/A	43	--undefined--	46	m	0
05_4a	ua	33.444	33.477	stAtuya	u	SWW	unfocused	N/A	33	--undefined--	47	m	0
05_4a	ua	46.624	46.671	lAstivka	i	SWW	unfocused	N/A	48	157	44	m	0
05_4a	ua	51.322	51.373	bErezen'	e	SWW	unfocused	N/A	51	128	52	m	0
05_4a	ua	4.479	4.535	Avtorka	o	SWW	focused	N/A	56	132	38	m	1
05_4a	ua	16.399	16.433	lAstivka	i	SWW	focused	N/A	34	89	34	m	0
05_4a	ua	32.605	32.63	stAtuya	u	SWW	focused	N/A	26	--undefined--	43	m	0
05_4a	ua	46.75	46.832	bErezen'	e	SWW	focused	N/A	82	123	50	m	0
05_4a	ua	55.335	55.397	hYkavka	a	SWW	focused	N/A	62	130	53	m	1
05_4a	ua	7.149	7.23	vYrizka	i	SWW	focused	N/A	81	126	59	m	1
05_4a	ua	12.104	12.166	zAbavka	a	SWW	focused	N/A	62	124	42	m	1
05_4a	ua	23.341	23.427	zArodok	o	SWW	focused	N/A	86	122	56	m	1
05_4a	ua	40.693	40.745	vEresen'	e	SWW	unfocused	N/A	52	126	51	m	0
05_4a	ua	60.771	60.828	pOdushka	u	SWW	focused	N/A	57	133	53	m	0
06_4b	de	26.915	26.956	stImulus	u	SWW	unfocused	N/A	41	214	68	f	1
06_4b	de	49.808	49.879	kAviar	i	SWW	focused	N/A	72	200	59	f	0
06_4b	de	54.957	55.012	Abakus	a	SWW	focused	N/A	55	176	65	f	0
06_4b	de	78.576	78.599	Oktopus	o	SWW	focused	N/A	23	218	63	f	1
06_4b	de	90.644	90.959	kAbeljau	e	SWW	N/A	fail	315	227	70	f	0
06_4b	de	115.058	115.089	Oktopus	o	SWW	unfocused	N/A	31	267	64	f	0
06_4b	de	130.846	130.91	Abakus	a	SWW	unfocused	N/A	64	250	67	f	0
06_4b	de	137.777	137.805	stImulus	u	SWW	unfocused	N/A	28	244	72	f	0
06_4b	de	155.588	155.682	kAviar	i	SWW	unfocused	fail	95	235	67	f	0
06_4b	de	178.106	178.564	kAbeljau	e	SWW	unfocused	fail	458	229	58	f	0
06_4b	de	208.194	208.243	Exodus	o	SWW	focused	N/A	49	194	57	f	0
06_4b	de	217.384	217.425	kOpula	u	SWW	focused	N/A	41	213	64	f	0
06_4b	de	232.209	232.228	Enkelin	e	SWW	focused	N/A	19	218	56	f	1
06_4b	de	237.432	237.472	Abakus	a	SWW	focused	N/A	40	220	61	f	0
06_4b	de	251.517	251.56	kAritas	i	SWW	focused	N/A	43	175	52	f	0
06_4b	de	289.678	289.696	Enkelin	e	SWW	unfocused	N/A	18	265	67	f	0
06_4b	de	315.622	315.639	kOpula	u	SWW	unfocused	N/A	17	258	51	f	0
06_4b	de	332.319	332.363	Abakus	a	SWW	unfocused	N/A	44	243	48	f	0
06_4b	de	343.588	343.617	Exodus	o	SWW	unfocused	N/A	28	266	63	f	0
06_4b	de	358.951	358.993	kAritas	i	SWW	unfocused	N/A	42	260	62	f	0
06_4b	ua	16.574	16.611	pArostok	o	SWW	focused	N/A	37	--undefined--	61	f	0
06_4b	ua	26.185	26.232	pErepel	e	SWW	focused	N/A	47	178	59	f	0
06_4b	ua	32.308	32.364	rAyduzhka	u	SWW	focused	N/A	56	--undefined--	55	f	0
