participant	language	starting_point	ending_point	word	vowel	stress	focus	duration	pitch	intensity	gender	f0	Ntime	z1	type
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	172.721657499795	235	-1.356676667560342	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	173.714666532073	240	-1.3287951957111848	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	174.538592373387	245	-1.305661201554365	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	182.530516894918	250	-1.0812658422730104	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	211.80797489121	5	-0.2592203276759651	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	230.007465456026	10	0.2517806474993063	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	236.63466039064	15	0.4378574534518469	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	235.700903137453	20	0.4116396389885133	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	240.334589324733	25	0.5417431796301303	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	245.38310470625	30	0.6834941958992293	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	241.637190393331	35	0.5783173031720689	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	218.332031301105	40	-0.07603942073344569	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	201.786134481774	45	-0.540611183317451	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	192.345089434845	50	-0.8056946046622816	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	161.528567134782	65	-1.670953601377604	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	174.27226389221	70	-1.313139109417429	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	182.877649095304	75	-1.071519146766329	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	187.221075076144	80	-0.9495654632878664	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	189.06475617345	85	-0.8977990231625069	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	190.569967478296	90	-0.855536057510703	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	192.665908462391	95	-0.796686724175356	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	196.213846315186	100	-0.6970685674921977	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	210.354251231897	105	-0.3000376354406353	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	227.485824019254	110	0.1809785979230416	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	244.617396806608	115	0.661994831286634	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	261.922252063786	120	1.1478764486974051	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	289.334764238447	125	1.9175584572881428	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	285.516356669423	130	1.810346116127337	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	271.827066186551	135	1.4259814680459992	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	251.78076650041	140	0.8631262248296163	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	231.673739661771	145	0.29856589904317016	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	212.44338248411	150	-0.24137950414031145	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	203.346393744538	155	-0.4968025941726531	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	199.773079979338	160	-0.5971332496995969	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	196.149154132383	165	-0.6988849792417917	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	192.547728870124	170	-0.8000049427089565	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	189.185204050527	175	-0.8944171162665455	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	186.207412406757	180	-0.978026843056205	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	183.749039701512	185	-1.0470524482098489	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	181.90899843698801	190	-1.0987166899745195	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	180.632039372759	195	-1.134570843405683	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	179.58377335752	200	-1.1640038077033652	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	175.189278942812	205	-1.2873913785433608	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	169.871094543781	210	-1.4367140974616872	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	175.064379164159	215	-1.2908982848748076	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	175.367412933461	220	-1.2823897746463002	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	174.663788668242	225	-1.3021459697113966	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	175.989157687258	230	-1.264932573063164	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	176.937301461994	235	-1.23831081726341	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	185.285412488308	240	-1.003914537866179	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	187.852438028804	245	-0.9318382042005974	like_de
01_2b	de	217.987	218.099	akUstik	u	WSW	focused	111	283	53	f	205.657546732138	250	-0.43191058929829695	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	226.494046183209	5	0.1531316953094057	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	232.73444502035	10	0.32834813226981635	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	233.594592159895	15	0.35249913943874484	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	224.465892550969	20	0.09618567914544196	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	216.603972779771	25	-0.12455943762165106	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	216.265495266718	30	-0.13406312887218297	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	217.512387233813	35	-0.0990531922558502	like_de
